No.,Anime,Ep. No.,Worth Level
1,Death Note,37,High
2,Attack on titan,98,High
3,Sward Art Online,96,Medium
4,One Punch Man,24,Medium
5,Another ,12,High
6,Code Geass,50,High
7,Monthly Girl nozaki - kun,12,Low
8,Tokyo Ghoul,48,High
9,My Teen Romantic Comedy SNAFU,38,High
10,Gamers,12,Low
11,Tsuredure Children,12,High
12,The Pet Girl of Sakurasou,24,Medium
13,Demon Slayer,63,Medium
14,My Hero Academia,138,High
15,Naruto,220,Medium
16,Naruto Shippudin,500,High
17,Haikyu,,High
18,Classroom Of Elite,37,High
19,Date a Live,48,Low
20,Gate,24,Medium
21,High school DxD,48,Medium
22,Love Is War,37,High
23,Black Clover,170,High
24,Komi Can't Communicate,24,Medium
25,Bojuri : T Don't Want to Get Hurt So I Will Max Out My Defense,12,Low
26,Don't Toy With Me Miss Nagatoro,24,Medium
27,The Rise Of The Shild Hero,50,Medium
28,How Not TO Summon A Demon Lord,22,Low
29,Arifuret,41,Medium
30,Shikimori's Not Just a Cutie,12,Medium
31,My Dress Up Darling,24,High
32,Ranking Of the kings,23,Medium
33,Aharen Is Indecipherable ,12,Medium
34,Kuma Kuma Kuma Bear,12,Low
35,Horimiya,26,High
36,Teasing Master Takagi -San,36,High
37,Rent a Girlfriend,48,Medium
38,Konosuba,31,High
39,The Promised Neverland,23,Medium
40,Re Zero starting Life In Another World,94,High
41,Akame Ga Kill,24,High
42,Death Parede,12,Medium
43,Dr. Stone,35,Medium
44,Rascal Does Not Dream Of Bunny Girl Senpie,13,Medium
45,Science Fell In Love So I Tried To Prove It,24,High
46,The Quintessential Quintuplets,24,High
47,Blue Exorcist,37,Medium
48,love Chunibyo & Other Delusions,24,High
49,Akebi's Sailor Unifor,,Medium
50,Bottom - Tier Character Tomozaki,12,High
51,Tonikawa : Over The Moon For You,24,Medium
52,Chiyalry of A failed Knight,12,Low
53,Jujutsu Kaisen,47,High
54,Knight's & Magic,6,Low
55,That Time I got Reincarnatad As a Slime,72,Medium
56,Parasyte,24,Medium
57,No Game No Life,12,Medium
58,My Next life as a Villainess,24,Medium
59,The Strongest Sage With the Weakest Grest,12,Medium
60,Rust Eates Bisco,12,High
61,How a Realist Hero Rebuild the kingdom,24,Medium
62,Death March to the Parallel World Rhapsody,12,Medium
63,In Another World With My Smart Phone,24,Low
64,Spirit Chronicles,12,Medium
65,The Dungeon of Black Company,12,Medium
66,Infinite Stratos,24,Medium
67,Uzaki-chan Wants to Hang Out!,25,Medium
68,Noragami,25,Medium
69,Akashic Records of Bastard Magic Instructor,12,Low
70,Darling in the Franxx,24,High
71,Violet Evergarden,12,HIgh
72,My Senpai is Annoying,12,Low
73,Spy x Family,37,Medium
74,High School of The Dead,12,High
75,God Eater,13,High
76,Orient,12,Medium
77,I'm Standing on a Million Lives,24,Medium
78,Citrus,12,HIgh
79,Mieruko-chan,12,Medium
80,Baki Hanma,39,Medium
81,One Piece,1146,High
82,Eighty Six,11,High
83,Summer Time Rendering,25,High
84,A Couple of Cuckoos,24,Medium
85,Chainsaw Man,12,Low
86,Kono Oto Tomare!: Sounds of Life,12,Medium
87,"More than a Married Couple, but Not Lovers",12,Medium
88,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,12,Medium
89,Your Lie in April,22,High
90,Assassination Classroom,47,High
91,Dragon Ball Super,151,High
92,Psycho-Pass,33,High
93,Blue Lock,24,Medium
94,High-Rise Invasion,12,Medium
95,Food Wars!,37,Medium
96,K-ON,39,Medium
97,Tokyo Revengers,37,Medium
98,Guilty Crown,22,High
99,Saga of Tanya the Evil,12,High
100,Kabaneri of the Iron Fortress,12,High
101,Akudama Drive,12,High
102,Life Lessons with Uramichi Oniisan,13,Medium
103,Deadman Wonderland,12,High
104,Beast Tamer,13,Low
105,Bleach,293,Medium
106,Vinland Saga,48,Medium
107,When They Cry (Higurashi),26,High
108,Romantic Killer,12,Medium
109,"Kiss Him, Not Me",12,Medium
110,The Testament of Sister New Devil,22,Low
111,NieR:Automata Ver1.1a,,
112,My First Girlfriend Is a Gal,10,Low
113,Fire Force,24,Medium
114,The Devil is a Part-Timer!,25,Medium
115,Fate/Zero,25,High
116,Fate/stay night,24,High
117,Fate/stay night: Unlimited Blade Works,25,High
118,Haganai: I Don't Have Many Friends,24,Medium
119,Monster Musume: Everyday Life with Monster Girls,12,Low
120,Fate/Apocrypha,25,High
121,Fate/Extra: Last Encore,                             10+3,High
122,Ghost Hunt,25,High
123,The Disappearance of Nagato Yuki-Chan,16,low
124,Paranoia Agent,13,Medium
125,Daily lives of High School Boys,12,High
126,The Eminence In Shadow,32,Medium
127,A Sister's All You Need,12,Low
128,How Heavy Are The Dumbblles you lift?,12,Medium
129,The acura Guide to Babysitting,12,Medium
130,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,12,Medium
131,My life as inukai-san's dog,12,Low
132,Kakegurui,24,High
133,Steins;Gate,24,High
